code,locality,province,locality_url,event_count
warburton,Warburton,Mpumalanga,/events/south-africa/mpumalanga/warburton,1
vredendal,Vredendal,Western Cape,/events/south-africa/western-cape/vredendal,1
vredenburg,Vredenburg,Western Cape,/events/south-africa/western-cape/vredenburg,1
volksrust,Volksrust,Mpumalanga,/events/south-africa/mpumalanga/volksrust,1
cape-town-western-cape,"Cape Town, Western Cape",Wes Kaap,/events/south-africa/wes-kaap/cape-town-western-cape,1
vlakfontein,Vlakfontein,Gauteng,/events/south-africa/gauteng/vlakfontein,1
villiersdorp,Villiersdorp,Western Cape,/events/south-africa/western-cape/villiersdorp,1
vanwyksvlei,Vanwyksvlei,Northern Cape,/events/south-africa/northern-cape/vanwyksvlei,1
vaalwater,Vaalwater,Limpopo,/events/south-africa/limpopo/vaalwater,1
utrecht,Utrecht,Kwazulu Natal,/events/south-africa/kwazulu-natal/utrecht,1
umlazi,Umlazi,Kwazulu Natal,/events/south-africa/kwazulu-natal/umlazi,1
umhlali,Umhlali,Kwazulu Natal,/events/south-africa/kwazulu-natal/umhlali,1
tlokweng,Tlokweng,North West,/events/south-africa/north-west/tlokweng,1
thokoza,Thokoza,Gauteng,/events/south-africa/gauteng/thokoza,1
thohoyandou,Thohoyandou,Limpopo,/events/south-africa/limpopo/thohoyandou,1
thembisa,Thembisa,Gauteng,/events/south-africa/gauteng/thembisa,1
the-crags-plettenberg-bay,"The Crags, Plettenberg Bay",Western Cape,/events/south-africa/western-cape/the-crags-plettenberg-bay,1
thaba-tshwane,Thaba Tshwane,Gauteng,/events/south-africa/gauteng/thaba-tshwane,1
taung,Taung,North West,/events/south-africa/north-west/taung,1
sunrella-ah,Sunrella AH,Gauteng,/events/south-africa/gauteng/sunrella-ah,1
sunningdale,Sunningdale,Western Cape,/events/south-africa/western-cape/sunningdale,1
stutterheim,Stutterheim,Eastern Cape,/events/south-africa/eastern-cape/stutterheim,1
strandfontein,Strandfontein,Western Cape,/events/south-africa/western-cape/strandfontein,1
strand,Strand,Western Cape,/events/south-africa/western-cape/strand,1
still-bay-stilbaai,Still Bay / Stilbaai,Western Cape,/events/south-africa/western-cape/still-bay-stilbaai,1
stilfontein,Stilfontein,North West,/events/south-africa/north-west/stilfontein,1
steelpoort,Steelpoort,Limpopo,/events/south-africa/limpopo/steelpoort,1
st-francis-bay-6312,St Francis Bay 6312,Eastern Cape,/events/south-africa/eastern-cape/st-francis-bay-6312,1
sir-lowrys-pass,Sir Lowry's Pass,Western Cape,/events/south-africa/western-cape/sir-lowrys-pass,1
silver-lakes-golf-estate,Silver Lakes Golf Estate,Gauteng,/events/south-africa/gauteng/silver-lakes-golf-estate,1
sekgophokgophong,Sekgophokgophong,Limpopo,/events/south-africa/limpopo/sekgophokgophong,1
sasolburg,Sasolburg,Free State,/events/south-africa/free-state/sasolburg,1
saldanha,Saldanha,Western Cape,/events/south-africa/western-cape/saldanha,1
rustenburgbapong,"Rustenburg,Bapong",North West,/events/south-africa/north-west/rustenburgbapong,1
riviersonderend,Riviersonderend,Western Cape,/events/south-africa/western-cape/riviersonderend,1
riversdale,Riversdale,Western Cape,/events/south-africa/western-cape/riversdale,1
calitzdorp,Calitzdorp,Western Cape,/events/south-africa/western-cape/calitzdorp,1
richmond-kzn,Richmond - KZN,Kwazulu Natal,/events/south-africa/kwazulu-natal/richmond-kzn,1
rhodes,Rhodes,Eastern Cape,/events/south-africa/eastern-cape/rhodes,1
reefentse,Reefentse,Gauteng,/events/south-africa/gauteng/reefentse,1
randfontein,Randfontein,Gauteng,/events/south-africa/gauteng/randfontein,1
raithby,Raithby,Western Cape,/events/south-africa/western-cape/raithby,1
qoncendevana,"Qonce,Ndevana",Eastern Cape,/events/south-africa/eastern-cape/qoncendevana,1
qonce,Qonce,Eastern Cape,/events/south-africa/eastern-cape/qonce,1
qoloha,Qoloha,Eastern Cape,/events/south-africa/eastern-cape/qoloha,1
caledon,Caledon,Western Cape,/events/south-africa/western-cape/caledon,1
qaza,Qaza,Limpopo,/events/south-africa/limpopo/qaza,1
pretoria-east,Pretoria East,Gauteng,/events/south-africa/gauteng/pretoria-east,1
port-shepstone,Port Shepstone,Kwazulu Natal,/events/south-africa/kwazulu-natal/port-shepstone,1
port-edward,Port Edward,Eastern Cape,/events/south-africa/eastern-cape/port-edward,1
buffalo-city,Buffalo City,Eastern Cape,/events/south-africa/eastern-cape/buffalo-city,1
pongola,Pongola,Kwazulu Natal,/events/south-africa/kwazulu-natal/pongola,1
pimville,Pimville,Gauteng,/events/south-africa/gauteng/pimville,1
